                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.5845,                 0.7079,                 1.0271,                 1.8502,                0.73913,                0.99276,                0.87904,                0.85092,                0.90227,                0.43789,                  1.644,                0.67631,                 1.0187,                 1.8055,                0.65861,                 1.0185,               0.008581,               0.008581,               0.008581
                     46,                 1.5785,                0.70463,                 1.0289,                 1.8442,                0.74069,                0.99714,                0.87833,                0.84369,                0.89973,                0.43732,                 1.6389,                0.67691,                 1.0173,                  1.802,                0.66065,                 1.0157,               0.008548,               0.008548,               0.008548
                     47,                 1.5869,                0.70197,                 1.0265,                 1.8509,                0.73418,                0.99393,                0.87885,                0.84461,                0.90416,                0.44253,                  1.619,                0.67271,                 1.0119,                 1.7856,                0.65782,                 1.0113,               0.008515,               0.008515,               0.008515
                     48,                 1.5868,                 0.7013,                 1.0219,                 1.8587,                0.73295,                0.98847,                0.88295,                0.85277,                0.90334,                0.44046,                 1.6446,                 0.6742,                 1.0185,                 1.8066,                0.65559,                 1.0157,               0.008482,               0.008482,               0.008482
                     49,                 1.5753,                 0.7009,                 1.0242,                 1.8395,                0.72966,                0.99099,                0.87941,                0.84866,                0.90249,                0.44076,                 1.6322,                0.67316,                 1.0146,                 1.7957,                0.65025,                  1.012,               0.008449,               0.008449,               0.008449
                     50,                 1.5895,                0.70159,                 1.0298,                 1.8511,                0.73315,                0.99545,                0.87984,                0.84665,                0.90066,                0.43416,                 1.6591,                0.68215,                 1.0238,                 1.8263,                0.67038,                  1.023,               0.008416,               0.008416,               0.008416
                     51,                 1.5751,                0.69879,                 1.0238,                 1.8393,                0.72788,                 0.9916,                0.88392,                0.85227,                0.90504,                0.44345,                 1.6247,                0.66793,                 1.0123,                 1.7792,                0.65015,                 1.0088,               0.008383,               0.008383,               0.008383
                     52,                 1.5677,                 0.6952,                 1.0247,                 1.8282,                0.71507,                 0.9915,                0.88235,                0.84765,                 0.9007,                0.43815,                 1.6352,                0.67341,                 1.0152,                 1.7964,                0.65339,                 1.0127,                0.00835,                0.00835,                0.00835
                     53,                 1.5713,                0.69613,                 1.0243,                 1.8354,                0.72407,                0.98833,                0.88413,                0.84957,                0.90481,                0.44438,                 1.6224,                0.66651,                 1.0118,                 1.7734,                0.64691,                 1.0053,               0.008317,               0.008317,               0.008317
                     54,                 1.5785,                0.69906,                 1.0223,                 1.8408,                0.72667,                0.98847,                0.88008,                0.84845,                0.90037,                0.43778,                 1.6436,                 0.6712,                 1.0153,                 1.8085,                0.65607,                 1.0131,               0.008284,               0.008284,               0.008284
                     55,                 1.5742,                0.69864,                 1.0209,                 1.8444,                0.73298,                0.98556,                0.88369,                0.85464,                0.90566,                0.44132,                  1.632,                0.66858,                 1.0137,                 1.7918,                0.64749,                 1.0107,               0.008251,               0.008251,               0.008251
                     56,                 1.5716,                0.69121,                 1.0222,                 1.8442,                0.72143,                0.98733,                0.88248,                0.85332,                 0.9068,                 0.4452,                 1.6327,                 0.6674,                 1.0099,                  1.794,                0.64413,                  1.008,               0.008218,               0.008218,               0.008218
                     57,                 1.5719,                0.69237,                 1.0206,                 1.8337,                 0.7155,                0.98652,                0.89048,                0.85552,                0.90862,                0.44611,                 1.6216,                0.66639,                 1.0089,                   1.78,                0.64424,                 1.0047,               0.008185,               0.008185,               0.008185
                     58,                 1.5654,                0.69001,                 1.0143,                 1.8355,                0.71672,                0.98076,                0.88739,                0.85687,                0.90578,                0.44314,                 1.6398,                 0.6666,                 1.0148,                 1.8027,                0.64602,                 1.0115,               0.008152,               0.008152,               0.008152
                     59,                 1.5712,                0.69929,                 1.0153,                 1.8351,                0.72168,                0.98162,                0.88127,                0.85137,                0.90468,                0.44303,                 1.6367,                0.66544,                 1.0117,                  1.798,                0.65019,                 1.0073,               0.008119,               0.008119,               0.008119
                     60,                 1.5628,                0.68947,                   1.02,                 1.8252,                0.71436,                0.98657,                0.88452,                0.85691,                0.90428,                0.44308,                 1.6344,                0.66148,                 1.0116,                 1.7974,                0.64744,                 1.0093,               0.008086,               0.008086,               0.008086
                     61,                 1.5602,                0.68459,                  1.012,                 1.8322,                0.71599,                0.97676,                0.88808,                0.85255,                0.90834,                0.44675,                 1.6219,                0.66372,                  1.009,                 1.7852,                0.64001,                 1.0058,               0.008053,               0.008053,               0.008053
                     62,                 1.5644,                0.68517,                  1.015,                 1.8287,                0.71248,                0.98386,                0.88831,                0.84903,                0.90549,                0.44314,                 1.6359,                0.66401,                 1.0159,                 1.7999,                 0.6437,                 1.0135,                0.00802,                0.00802,                0.00802
                     63,                 1.5625,                0.68436,                 1.0163,                 1.8375,                0.71506,                0.98192,                0.88289,                0.85872,                0.90719,                0.44294,                 1.6422,                0.66429,                 1.0163,                 1.8063,                0.64396,                 1.0148,               0.007987,               0.007987,               0.007987
                     64,                 1.5633,                0.68672,                  1.015,                 1.8373,                0.71156,                0.98051,                0.88765,                0.85828,                0.91055,                0.44268,                 1.6413,                0.65786,                 1.0159,                  1.799,                0.63928,                 1.0128,               0.007954,               0.007954,               0.007954
                     65,                 1.5603,                0.68616,                 1.0153,                 1.8252,                 0.7099,                0.98061,                0.89141,                0.85868,                0.91268,                0.45327,                 1.6051,                0.65555,                 1.0071,                 1.7636,                0.63108,                 1.0011,               0.007921,               0.007921,               0.007921
